"Service","Claude Sonnet 4.5 ( Bedrock Edition)($)","Claude 3 Haiku ( Bedrock Edition)($)","Key Management Service($)","Config($)","Security Hub($)","Tax($)","CloudWatch($)","GuardDuty($)","SNS($)","S3($)","Payment Cryptography($)","Cost Explorer($)","WAF($)","Secrets Manager($)","CloudTrail($)","Glue($)","SQS($)","Step Functions($)","CloudFormation($)","Inspector($)","Total costs($)"
"2025-10-18","","","0.1990492404","0.044891","0","","0.0690381862","0","0.0038988308","0.0005958582","","","0","0.0000924","0.00003157","0.00000308","0.000002772","","","0","0.3176029376"
"2025-10-19","","","0.1991277804","0.061061","0","","0.0697844771","0","0.0038825784","0.000617173","","","0","0.0000924","0.00003311","0.00000308","0.000002772","","","0","0.3346043709"
"2025-10-20","18.222441105","0.93997275","0.1990607904","0.054131","0","","0.0693709759","0","0.003966631","0.0006283237","","","0","0.00009625","0.00003234","0.00000308","0.00000308","0.0000000011","","0","19.4897063271"
"2025-10-21","39.530360595","0.68294275","0.1990538604","0.155771","0","","0.0707756848","0","0.0043620811","0.0005801278","","","0","0.0000924","0.00003234","0.00000308","0.000002772","0.0000000011","","0","40.6439766922"
"2025-10-22","40.65452094","0.09904525","0.1990654104","0.042581","0","","0.0701532929","0","0.0042205201","0.0006927776","0.0003542","","0","0.00009625","0.0000308","0.00000308","0.00000308","","","0","41.070766601"
"2025-10-23","56.915392215","0.2117625","0.1990376904","0.042581","0","","0.0701613613","0","0.0037914033","0.0006732065","0.0006622","","0","0.0000924","0.00003157","0.00000308","0.000002464","","","0","57.4441910905"
"2025-10-24","24.781528035","0.15360825","0.1990492404","0.065681","0","","0.0696159786","0","0.0038932011","0.0006825193","0.0006622","","0","0.0001001","0.00003311","0.00000308","0.000002772","","","0","25.2748594864"
"2025-10-25","","","0.1990607904","0.042581","0","","0.0689572038","0","0.0036593969","0.0007014128","0.0006622","","0","0.00010395","0.00003157","0.00000308","0.00000308","","","0","0.3157636839"
"2025-10-26","","","0.1991277804","0.058751","0.12859","","0.0698816792","0.0422527028","0.0035794146","0.000690282","0.0006622","","0","0.0001001","0.00003311","0.00000308","0.000002772","","","0","0.503674121"
"2025-10-27","2.27800683","0.031118","0.1990607904","0.056441","0.26334","","0.0692161828","0.0297293689","0.0037495386","0.0006786341","0.0006622","","0","0.00010395","0.00003157","0.00000308","0.00000308","","","0","2.9321442248"
"2025-10-28","22.167585","0.0682535","0.1990145904","0.058751","0.26334","","0.0692209012","0.0294098805","0.0036887312","0.0006194802","0.0006622","","0","0.00009625","0.0000308","0.00000308","0.000002464","","","0","22.8606778775"
"2025-10-29","90.874648425","0.2660485","0.1990376904","0.077231","0.26334","","0.0707676276","0.0296989693","0.0038034329","0.0006265538","0.00101024","","0","0.00009625","0.00003157","0.00000308","0.000002464","","","0","91.786345803"
"2025-10-30","63.8902704","0.1807605","0.1990538604","0.088781","0.26334","","0.0711426153","0.0537810889","0.0039465522","0.0006419865","0.00101024","","0","0.0001001","0.00003234","0.00000308","0.000002772","","","0","64.7528665353"
"2025-10-31","47.206703775","0.110412","0.1990607904","0.067991","0.26334","","0.0700638171","0.0300461777","0.0037273733","0.0006699145","0.00101024","","0","0.0001078","0.00003234","0.00000308","0.00000308","0.0000000024","","0","47.9531713904"
"2025-11-01","","","0.201372036","0.07777","0.52668","1.74","0.072729012","0.0295620248","0.003534993","0.0006545165","0.00101024","","0","0.0001078","0.00003157","0","0.000002772","","","0","2.6534549643"
"2025-11-02","7.965784035","0.0054355","0.205763004","0.09163","0.504504","","0.0739538857","0.0577842034","0.0036167725","0.00066153","0.00101024","0.0077","0","0.00011165","0.00003311","0","0.00000308","0.0000000013","","0","8.9179910119"
"2025-11-03","45.924344565","0.1688315","0.2046034695","0.067914","0.48048","","0.0738150165","0.0305953186","0.003737097","0.0006265902","0.00101024","","0","0.00010395","0.00004235","0.00000308","0.000002464","","","0","46.9561096408"
"2025-11-04","99.89654928","0.4345875","0.205684464","0.067914","0.48048","","0.0742259166","0.0302821134","0.0036024681","0.000674079","0.00101024","","0","0.0001155","0.0000308","0.00000308","0.00000308","0.0000000011","","0","101.1951625222"
"2025-11-05","119.547547185","0.429467","0.205672914","0.067914","0.440748","","0.0745046494","0.0298713954","0.003884336","0.0006506805","0.00101024","","0","0.00011165","0.00003157","0.00000308","0.000002772","","","0","120.8014194723"
"2025-11-06","90.363732525","0.3369665","0.205684464","0.067914","0.421036","","0.0755367634","0.0299433134","0.0038220849","0.0006618702","0.00101024","","0","0.0001155","0.00003157","0.00000308","0.00000308","","","0","91.5064609909"
"2025-11-07","26.211405495","0.119508","0.205661364","0.09317","0.392084","","0.074992541","0.0315295134","0.0037037888","0.0006265711","0.00101024","","0","0.0001078","0.00003311","0.00000308","0.000002464","","","0","27.1338379673"
"2025-11-08","","","0.205684464","0.06776","0.381612","","0.0713249362","0.0295753766","0.0037534918","0.0006660544","0.00101024","","0","0.0001155","0.00003157","0.00000308","0.00000308","","","0","0.761539793"
"2025-11-09","0.859393755","0.00223425","0.205751454","0.06776","0.352044","","0.0721336826","0.0570486994","0.003717882","0.0006582683","0.00101024","","0","0.00011165","0.00003311","0.00000308","0.000002772","0.0000000011","","0","1.6219028444"
"2025-11-10","17.947376535","0.172753","0.205672914","0.08162","0.359898","","0.0724384503","0.0322490322","0.0037819025","0.0006499953","0.00101024","","0","0.00011165","0.00003234","0.00000308","0.000002772","","","0","18.8775999113"
"2025-11-11","13.115016585","0.51805075","0.0953699805","0.03234","0.179795","","0.0394675008","0.0165956714","0.0021102679","0.0002762354","0.00050512","","0","0.00005005","0.00002002","0.00000231","0.000000924","","","0","13.999600415"
"2025-11-12","","","","","","","","","","","","","","","","","","","","","0"
